Rank,Team,Proj_Season_Pts
1,Buffalo Bills,457.5
2,Baltimore Ravens,452.5
3,Cincinnati Bengals,445.5
4,Kansas City Chiefs,435.5
5,Philadelphia Eagles,432.5
6,Washington Commanders,432.5
7,Detroit Lions,431.5
8,Tampa Bay Buccaneers,425.5
9,Los Angeles Rams,415.5
10,San Francisco 49ers,415.5
11,Green Bay Packers,410.5
12,Denver Broncos,403.5
13,Los Angeles Chargers,403.5
14,Arizona Cardinals,400.5
15,Chicago Bears,399.5
16,Dallas Cowboys,399.5
17,Houston Texans,399.5
18,Miami Dolphins,395.5
19,Minnesota Vikings,390.5
20,Atlanta Falcons,389.5
21,Jacksonville Jaguars,389.5
22,New England Patriots,389.5
23,Seattle Seahawks,389.5
24,Pittsburgh Steelers,379.5
25,Carolina Panthers,368.5
26,Indianapolis Colts,365.5
27,Las Vegas Raiders,359.5
28,Tennessee Titans,359.5
29,New York Jets,335.5
30,New Orleans Saints,331.5
31,New York Giants,331.5
32,Cleveland Browns,325.5
